LineId,SignalName,SpeakerId,GroupId,Text,AlternativeText,LineType,DurationOverride,RequiredConditionIds,ConditionOperator,InlineConditions,Priority,CooldownHours,MaxUseCount,InlineEffects,NextSignal,NextSignalDelay,bEndsConversation,CameraAngle,Expression
"LINE_Barkeeper_Greeting_01","Greeting","NPC_Barkeeper","Barkeeper_General","Welcome back. The usual?","Hey... you look rough. Need something?","Speech",0,"","And","","0",0,0,"AddTag:WorldState.MetBarkeeper","Barkeeper_WaitOrder",0.5,false,"Closeup","Neutral"
"LINE_Barkeeper_Greeting_02","Greeting","NPC_Barkeeper","Barkeeper_General","Haven't seen you in a while. Everything okay?","","Speech",0,"","And","WorldState:Chapter1:Present;Relationship:NPC_Barkeeper:>=:0.3","10",24,0,"","Barkeeper_WaitOrder",0.5,false,"Medium","Concerned"
"LINE_Barkeeper_Greeting_LowSanity","Greeting","NPC_Barkeeper","Barkeeper_General","Whoa, easy there. You don't look so good.","","Speech",0,"","And","Attribute:Sanity:<=:0.3","20",0,0,"","Barkeeper_OfferHelp",0.3,false,"Closeup","Worried"
"LINE_Barkeeper_Greeting_Addicted","Greeting","NPC_Barkeeper","Barkeeper_General","I can't keep serving you like this. You need help.","","Speech",0,"","And","Addiction:Alcohol:>=:0.7","25",0,1,"","Barkeeper_Intervention",0.5,false,"Closeup","Serious"
"LINE_Barkeeper_Quest_Info","Quest_Barkeeper_Rumor","NPC_Barkeeper","Barkeeper_Quests","I heard something interesting the other night. Might be worth looking into.","","Speech",0,"","And","Quest:SideQuest_Rumors:Available","15",0,1,"","Barkeeper_QuestDetails",0.5,false,"Medium","Conspiratorial"
"LINE_Player_Thought_LostMemory","Bark_Confusion","Player","Player_Internal","Who am I? Why can't I remember anything?","","Thought",3,"","And","Memory:Total:<=:2","5",48,3,"ModifyAttribute:Sanity:-0.02","",0,true,"",""
"LINE_Player_Thought_Recognition","Bark_Recognition","Player","Player_Internal","Wait... this place feels familiar somehow.","","Thought",2.5,"","And","Memory:Type_Location:Present","10",0,1,"","",0,true,"",""
"LINE_Stranger_Hostile","Bark_Hostile","NPC_Stranger","Street_Ambient","Get lost. We don't want your kind here.","","Shout",0,"","And","Relationship:NPC_Stranger:<=:-0.5","5",4,0,"ModifyRelationship:NPC_Stranger:-0.05","",0,true,"",""
"LINE_Radio_News","Ambient_Radio","Radio","Ambient","...reports of increased security in the industrial district following last night's incident...","","Communication",0,"","And","WorldState:Chapter2:Present","0",0,0,"","",0,true,"",""
"LINE_Dealer_FirstMeet","Greeting","NPC_Dealer","Dealer_General","New face. Looking for something to take the edge off?","","Whisper",0,"","And","WorldState:MetDealer:Absent","15",0,1,"AddTag:WorldState.MetDealer","Dealer_OfferDrugs",0.5,false,"Closeup","Sly"
